timestep,reward
1,0.37225
6680,0.41425
13484,0.529
20478,0.518
27630,0.894
35020,1.0255
42510,0.95775
50040,1.1045
57636,1.11125
65259,1.168
72826,1.24275
80586,1.074
88114,1.08275
95548,1.16525
102894,1.08825
110257,1.06125
117508,1.091
124821,1.16475
132130,1.03775
139424,1.22325
146750,1.07
154271,1.1755
161728,1.11275
168986,1.044
176554,1.14025
184113,1.23125
191722,1.14675
199213,1.028
206825,1.089
214450,1.238
222049,1.27225
229472,1.0045
236930,1.1115
244317,1.1665
251936,1.22925
259549,1.14325
267248,1.17525
274896,1.16825
282504,1.287
290069,1.15775
297474,1.12125
305055,1.12525
312740,1.17675
320251,1.23975
327968,1.191
335549,1.43325
343171,1.37475
350810,1.13
358463,1.24675
366074,1.29575
373623,1.0445
381216,1.1745
388901,1.277
396526,1.104
404274,1.2295
411887,1.34975
419547,1.19875
426960,1.3495
434631,1.1925
442145,1.30075
449780,1.309
457511,1.21975
465102,1.29425
472799,1.37125
480312,1.26825
487790,1.242
495381,1.311
502910,1.22525
510303,1.2915
517843,1.28375
525370,1.2125
532957,1.2105
540453,1.35875
548136,1.25475
555713,1.35125
563242,1.287
570918,1.20275
578429,1.29325
586135,1.3705
593920,1.30825
601496,1.339
608913,1.25625
616384,1.2815
624014,1.386
631464,1.40375
639195,1.329
646801,1.271
654378,1.29025
662009,1.25575
669559,1.25025
677177,1.42075
684829,1.31675
692431,1.30675
699998,1.377
707512,1.29
715130,1.32025
722614,1.268
730163,1.31075
737734,1.3875
745466,1.19975
753080,1.24225
760795,1.29475
768310,1.2935
775894,1.129
783262,1.264
791002,1.1155
798717,1.2425
806168,1.3185
813710,1.30075
821161,1.353
828733,1.3735
836279,1.42325
843684,1.23875
851324,1.349
858772,1.29925
866379,1.173
873922,1.31425
881508,1.201
889146,1.26525
896406,1.24275
903965,1.22
911492,1.25975
919185,1.21625
926721,1.3595
934423,1.24075
942079,1.24325
949674,1.23275
957326,1.1945
964857,1.31725
972388,1.3595
980164,1.32575
987827,1.244
995572,1.19375
1003186,1.157
1010868,1.198
1018446,1.32075
1026052,1.347
1033781,1.31575
1041465,1.2715
1049049,1.19125
1056503,1.28425
1064231,1.20175
1071862,1.3155
1079488,1.2
1087090,1.28725
1094684,1.28225
1102206,1.3055
1109801,1.33225
1117312,1.3615
1124937,1.36425
