timestep,reward
192,0.8315
19392,0.751
38592,0.81575
57792,0.8075
76992,0.91925
96192,0.76925
115392,0.869
134592,0.82175
153792,0.788
172992,0.7775
192192,0.79875
211392,0.84425
230592,0.75975
249792,0.8075
268992,0.7665
288192,0.76775
307392,0.765
326592,0.85575
345792,0.858
364992,0.775
384192,0.79975
403392,0.80975
422592,0.82675
441792,0.87625
460992,0.88675
480192,0.79525
499392,0.7325
518592,0.8495
537792,0.8565
556992,0.74225
576192,0.823
595392,0.80075
614592,0.769
633792,0.7955
652992,0.799
672192,0.7935
691392,0.82225
710592,0.84325
729792,0.831
748992,0.785
768192,0.8035
787392,0.76175
806592,0.78375
825792,0.73725
844992,0.88225
864192,0.86325
883392,0.85
902592,0.7795
921792,0.77975
940992,0.83375
