timestep,reward
192,0.0065
19392,0.6165
38592,0.66525
57792,0.655
76992,0.66825
96192,0.73975
115392,0.78275
134592,0.813
153792,0.82275
172992,0.83475
192192,0.8835
211392,0.88425
230592,0.82725
249792,0.8485
268992,0.89575
288192,0.812
307392,0.9315
326592,0.716
345792,0.8205
364992,0.853
384192,0.80425
403392,0.80825
422592,0.8635
441792,0.83875
460992,0.9095
480192,0.80425
499392,0.86075
518592,0.79275
537792,0.88325
556992,0.81
576192,0.82975
595392,0.822
614592,0.716
633792,0.8195
652992,0.84875
672192,0.71725
691392,0.81325
710592,0.9
729792,0.7985
748992,0.87675
768192,0.842
787392,0.757
806592,0.8125
825792,0.87575
844992,0.86175
864192,0.772
883392,0.816
902592,0.85975
921792,0.817
940992,0.85125
