timestep,reward
192,0.8165
19392,0.76525
38592,0.7915
57792,0.73725
76992,0.75925
96192,0.86075
115392,0.783
134592,0.77125
153792,0.792
172992,0.86725
192192,0.79525
211392,0.87025
230592,0.8555
249792,0.8955
268992,0.81175
288192,0.79175
307392,0.86325
326592,0.8405
345792,0.88625
364992,0.70475
384192,0.76275
403392,0.85225
422592,0.819
441792,0.81675
460992,0.8425
480192,0.83325
499392,0.78575
518592,0.8485
537792,0.8415
556992,0.8745
576192,0.86125
595392,0.8535
614592,0.8315
633792,0.82775
652992,0.81325
672192,0.7705
691392,0.8045
710592,0.81475
729792,0.837
748992,0.8145
768192,0.794
787392,0.8405
806592,0.78175
825792,0.78525
844992,0.82325
864192,0.788
883392,0.8805
902592,0.8095
921792,0.906
940992,0.78425
