timestep,reward
0,-0.092
1310,0.042
2645,0.17
3985,0.063
5179,-0.01
6476,-0.017
7762,0.119
8963,0.032
10250,0.13
11556,0.126
12851,-0.007
14151,-0.005
15411,0.052
16721,0.101
17998,0.101
19280,0.017
20542,0.053
21801,-0.012
23082,0.031
24419,0.008
25682,-0.052
26988,-0.026
28277,0.08
29489,0.089
30778,0.128
32052,-0.055
33366,-0.136
34670,-0.005
35952,0.02
37201,0.018
38494,-0.041
39783,0.066
41089,0.093
42381,0.008
43664,-0.037
44920,0.06
46177,0.043
47478,0.043
48763,-0.051
50059,0.015
51330,0.02
52576,0.055
53844,-0.087
55153,-0.004
56420,0.034
57721,-0.054
59031,-0.097
60335,0.203
61604,-0.029
62926,0.118
64170,0.007
65451,-0.109
66767,0.068
68047,0.057
69312,-0.039
70674,-0.072
71974,-0.077
73265,-0.099
74588,0.015
75816,0.017
77111,-0.103
78427,0.176
79696,0.096
80999,0.071
82275,0.087
83560,-0.062
84866,-0.028
86145,0.103
87503,0.053
88747,-0.119
89988,-0.008
91272,-0.147
92540,-0.023
93820,0.055
95059,0.025
96371,-0.084
97658,0.088
98955,-0.044
100256,0.173
101589,0.094
102854,0.101
104167,0.026
105445,0.03
106779,-0.028
108137,-0.039
109451,-0.014
110791,0.001
112063,-0.065
113335,0.008
114525,0.093
115830,-0.009
117151,0.165
118438,0.14
119746,-0.051
121057,-0.061
122351,-0.039
123549,0.097
124807,0.041
126077,-0.273
127362,0.015
