timestep,reward
0,0.14
1264,-0.002
2529,-0.012
3849,-0.005
5166,-0.244
6463,-0.01
7713,-0.078
8989,-0.023
10220,0.009
11480,-0.118
12774,-0.033
14019,0.012
15256,0.001
16528,0.121
17762,-0.044
19027,-0.007
20259,0.064
21524,-0.002
22915,-0.087
24148,0.127
25435,0.02
26696,0.089
27993,-0.088
29330,0.026
30620,-0.054
31910,-0.1
33181,-0.075
34532,-0.015
35809,-0.041
37089,-0.061
38386,-0.09
39672,0.241
40970,0.021
42220,0.104
43509,0.019
44796,0.007
46042,-0.127
47266,-0.011
48549,-0.017
49840,-0.048
51188,-0.075
52518,0.02
53775,0.141
55086,0.0
56346,-0.025
57713,0.03
58977,-0.141
60295,0.041
61557,0.032
62801,0.052
64080,-0.088
65404,0.06
66655,0.105
67952,-0.074
69210,-0.165
70590,-0.107
71901,0.051
73164,0.099
74451,-0.016
75772,-0.018
77063,-0.08
78328,-0.018
79626,0.019
80907,-0.03
82226,-0.105
83470,0.017
84758,-0.024
85994,-0.004
87282,0.052
88575,-0.083
89865,0.079
91110,-0.019
92380,0.012
93697,-0.062
94944,0.017
96217,0.007
97496,0.043
98863,-0.017
100069,-0.09
101324,0.236
102540,-0.066
103781,-0.108
105063,0.011
106364,0.115
107617,0.016
108896,-0.117
110192,0.065
111504,0.066
112707,0.064
114017,0.04
115279,-0.046
116568,-0.071
117794,-0.077
119060,-0.054
120328,0.097
121619,-0.04
122914,0.033
124255,0.103
125573,-0.013
126911,0.116
