timestep,reward
0,-0.082
1260,0.095
2610,-0.009
3853,-0.087
5168,-0.042
6413,0.184
7773,0.123
9023,-0.018
10366,0.042
11683,-0.032
12949,0.114
14187,-0.004
15473,-0.071
16732,-0.149
18014,-0.027
19326,0.01
20615,0.043
21917,-0.06
23214,-0.011
24474,0.014
25772,0.079
27058,-0.087
28337,0.062
29669,-0.278
30915,0.023
32167,-0.026
33421,0.094
34697,0.067
35975,0.081
37328,-0.085
38660,-0.024
39927,0.037
41174,0.036
42493,0.131
43715,0.064
44956,-0.015
46199,-0.094
47454,-0.023
48724,0.064
50009,0.036
51332,0.017
52622,-0.058
53875,0.04
55204,0.065
56484,-0.037
57781,0.026
59055,0.193
60319,0.099
61619,-0.128
62916,0.038
64242,0.065
65498,-0.083
66686,0.013
67945,-0.069
69179,0.081
70463,-0.061
71710,0.211
72982,0.054
74222,-0.08
75484,-0.143
76772,-0.187
78082,-0.04
79377,0.007
80602,-0.164
81867,0.039
83112,-0.018
84372,0.063
85610,0.06
86916,0.016
88242,0.145
89570,0.002
90835,-0.031
92149,-0.096
93434,-0.01
94729,0.078
96028,0.073
97267,-0.127
98541,-0.039
99807,-0.064
101084,-0.183
102377,-0.191
103719,-0.014
105036,0.07
106393,0.068
107716,0.024
109009,-0.14
110369,0.051
111703,-0.087
113027,0.042
114405,0.112
115663,0.078
116911,-0.05
118179,-0.118
119485,0.045
120723,0.112
121981,0.181
123232,-0.009
124456,-0.046
125733,-0.079
126993,0.052
