timestep,reward
193,-0.4785
22515,-0.03175
46419,0.80175
72899,0.85325
99651,0.91825
126185,0.92225
152857,1.145
179595,0.92925
206345,1.11875
233023,1.21575
259752,0.91175
286343,0.948
312856,0.86475
339299,0.9345
365723,0.9905
392033,1.02175
418476,0.98475
444894,1.0875
471450,1.04475
497844,1.0625
524441,1.0205
550850,0.95625
577354,0.9615
603907,1.143
630404,1.1405
656945,1.07325
683431,1.30025
709962,1.20125
736554,1.2925
763091,1.292
789850,1.3
816435,1.42675
843095,1.416
869922,1.3365
896686,1.3395
923438,1.3195
950163,1.5095
977002,1.5365
1003772,1.36175
1030475,1.41875
1057269,1.3025
1083854,1.32075
1110621,1.3345
1137422,1.45
1164179,1.3425
1191032,1.4175
1218105,1.349
1244867,1.13575
1271645,1.27
1298475,1.50725
