timestep,reward
192,0.8675
19392,0.72525
38592,0.81175
57792,0.78175
76992,0.80725
96192,0.81075
115392,0.81825
134592,0.756
153792,0.82475
172992,0.76825
192192,0.82
211392,0.75425
230592,0.782
249792,0.844
268992,0.85125
288192,0.79575
307392,0.82425
326592,0.931
345792,0.7815
364992,0.834
384192,0.7935
403392,0.795
422592,0.8845
441792,0.8075
460992,0.8075
480192,0.83375
499392,0.8555
518592,0.833
537792,0.84075
556992,0.8045
576192,0.77425
595392,0.76375
614592,0.742
633792,0.86
652992,0.80875
672192,0.81275
691392,0.83875
710592,0.75725
729792,0.844
748992,0.7575
768192,0.80775
787392,0.76225
806592,0.747
825792,0.78075
844992,0.86075
864192,0.86125
883392,0.814
902592,0.88025
921792,0.796
940992,0.79425
