timestep,reward
3,0.8625
7162,0.1985
12856,0.6285
19496,0.882
26719,0.86775
33761,0.92675
41189,0.91275
48536,1.06875
55957,1.1165
63333,1.1275
70790,1.1115
78281,1.04675
85566,1.15625
93023,1.25575
100470,1.13525
108020,1.13
115338,1.297
122786,1.118
130132,1.12825
137541,1.07825
144988,1.09025
152486,1.12275
159786,1.10525
167116,1.10375
174466,1.05275
181746,1.15975
189131,1.1455
196523,1.1825
204052,1.218
211513,1.14375
218883,1.2195
226276,1.09275
233868,1.1385
241428,1.2075
249017,1.23475
256427,1.1425
263977,1.1305
271560,1.087
279016,1.1715
286582,1.2685
294055,1.15025
301537,1.2585
309048,1.14275
316582,1.3335
324176,1.24925
331684,1.1515
339193,1.1785
346730,1.23
354352,1.23825
361709,1.171
369221,1.1955
376771,1.4055
384124,1.3055
391540,1.08525
399037,1.16
406532,1.1555
414032,1.087
421406,1.139
428770,1.20375
436298,1.291
443819,1.084
451264,1.21625
458687,1.29725
466231,1.2005
473771,1.38325
481498,1.37925
489118,1.19925
496617,1.1845
504175,1.3615
511783,1.268
519295,1.18975
526942,1.2015
534433,1.26125
541913,1.25725
549413,1.2235
556990,1.28825
564502,1.3355
572087,1.31825
579718,1.30125
587319,1.169
594929,1.41425
602406,1.20525
609906,1.17925
617658,1.22575
625264,1.3905
632818,1.32975
640383,1.3605
647814,1.346
655384,1.28625
662860,1.2505
670483,1.276
678046,1.26625
685675,1.28725
693356,1.2185
701011,1.195
708606,1.31
716179,1.27225
723797,1.28925
731317,1.25775
738901,1.2365
746484,1.20725
754126,1.14275
761765,1.263
769270,1.21075
776864,1.138
784508,1.265
791884,1.277
799389,1.1275
806798,1.3635
814332,1.2535
821947,1.242
829567,1.25525
837152,1.2405
844833,1.37225
852464,1.3175
860167,1.214
867728,1.217
875385,1.2245
882989,1.235
890570,1.49725
898178,1.26
905682,1.4435
913194,1.4345
920817,1.30075
928379,1.47125
936004,1.4135
943738,1.37075
951313,1.468
958993,1.472
966720,1.45225
974296,1.4205
982079,1.38325
989640,1.28725
997259,1.53525
1004967,1.36325
1012533,1.4225
1020186,1.50225
1027848,1.5495
1035529,1.6255
1043365,1.358
1051033,1.337
1058782,1.477
1066511,1.4015
1074208,1.44
1081962,1.405
1089625,1.32075
1097243,1.41225
1104785,1.5255
1112440,1.3805
1119933,1.368
