timestep,reward
1,-0.2905
3861,-0.14725
8278,0.21825
13670,0.58
20242,0.8185
27114,0.89225
34005,0.89175
41411,0.98125
48854,1.23725
56480,1.15225
64050,1.14075
71615,1.217
79035,1.1995
86553,1.27075
94084,1.19925
101474,1.2715
109016,1.20075
116538,1.22175
123996,1.2845
131460,1.30675
138951,1.16825
146550,1.22525
153996,1.07375
161590,1.16625
169239,1.134
176552,1.1905
184232,1.2795
191684,1.1855
199394,1.1625
207014,1.179
214569,1.3685
222086,1.3085
229482,1.23975
236925,1.40375
244584,1.20525
252084,1.35375
259710,1.20825
267332,1.24875
274915,1.246
282361,1.2595
290127,1.40475
297620,1.225
305073,1.25775
312633,1.3515
320267,1.3375
327918,1.30125
335587,1.22625
343259,1.27825
350768,1.15525
358411,1.22125
365961,1.16225
373564,1.12525
381105,1.304
388603,1.18
396141,1.27275
403610,1.23975
411051,1.2375
418620,1.2175
426286,1.34775
433876,1.3355
441361,1.35825
448964,1.27975
456521,1.433
464028,1.35075
471747,1.3345
479313,1.3245
487011,1.34
494635,1.3575
502202,1.36575
509753,1.3255
517429,1.32125
525102,1.299
532593,1.30325
540231,1.35125
547982,1.303
555708,1.22775
563339,1.30125
570941,1.24125
578535,1.30725
586140,1.295
593627,1.282
601265,1.32275
609032,1.4495
616861,1.38625
624504,1.32075
632128,1.3385
639773,1.34525
647490,1.26325
655154,1.347
662709,1.44225
670402,1.32325
677966,1.4345
685673,1.265
693295,1.33925
700985,1.34825
708828,1.29025
716469,1.4915
724131,1.5015
731863,1.359
739472,1.33975
747141,1.3015
754942,1.2805
762606,1.36375
770435,1.3445
778139,1.302
785799,1.3855
793679,1.2735
801154,1.42825
808870,1.3655
816510,1.4255
824288,1.36575
832006,1.34575
839657,1.27725
847368,1.45475
855053,1.41875
862719,1.346
870333,1.277
878055,1.379
885781,1.414
893571,1.391
901248,1.331
908962,1.33275
916526,1.427
924258,1.44725
931994,1.43525
939652,1.4475
947230,1.44
954999,1.368
962805,1.36025
970491,1.37675
978196,1.3765
985832,1.44075
993707,1.275
1001210,1.36125
1008961,1.44175
1016620,1.40925
1024256,1.333
1031929,1.30725
1039513,1.352
1047225,1.51725
1054956,1.2815
1062728,1.5185
1070521,1.44275
1078396,1.39775
1086045,1.308
1093912,1.373
1101615,1.45625
1109475,1.392
1117346,1.43025
1124920,1.44025
