timestep,reward
194,1.354
27076,1.4185
53931,1.399
80765,1.4175
107606,1.29525
134470,1.24775
161349,1.381
188198,1.3555
214910,1.292
241874,1.43475
268739,1.32475
295625,1.35825
322459,1.28775
349412,1.4085
376358,1.326
403148,1.33575
429919,1.36925
456882,1.438
483864,1.39725
510757,1.40875
537751,1.39
564599,1.41775
591450,1.25275
618305,1.33575
645120,1.371
671947,1.3165
698735,1.42
725661,1.376
752595,1.3935
779478,1.37625
806290,1.27025
833184,1.357
860113,1.3995
886902,1.349
913739,1.27725
940464,1.4035
967306,1.217
994165,1.3715
1020995,1.4595
1047786,1.32325
1074639,1.38825
1101495,1.30325
1128251,1.25525
1155117,1.3915
1181954,1.39375
1208631,1.38025
1235597,1.35925
1262256,1.413
1289320,1.35775
1316255,1.40525
