timestep,reward
3,-0.07275
5164,-0.088
10845,0.008
15995,0.20625
21611,0.86575
28815,0.8765
36132,0.974
43536,0.90775
50887,0.936
58437,0.927
65865,1.016
73232,1.052
80675,1.071
88120,0.96575
95601,1.06625
102976,1.102
110400,0.98625
117776,1.052
125200,1.07325
132740,1.02925
140062,1.0045
147459,0.9585
154918,1.063
162407,1.0855
169869,1.06475
177293,1.08025
184638,1.13925
192292,1.1415
199618,1.198
207021,1.06125
214660,1.20525
222239,1.1165
229643,1.23075
237242,1.04725
244696,1.0495
252358,1.12875
259702,1.17125
267402,0.9635
274766,1.02125
282251,1.12025
289720,1.16925
297248,1.1875
304797,1.262
312374,1.03675
319979,0.95675
327536,1.1145
335065,1.1665
342590,1.08675
350104,1.21575
357565,1.2175
365191,1.199
372769,1.2125
380348,1.22475
387909,1.16675
395407,1.13425
402978,1.17175
410410,1.22825
418139,1.12375
425959,1.225
433610,1.23075
441179,1.27425
448945,1.063
456825,1.19625
464437,1.26825
472097,1.2015
479675,1.16725
487444,1.2245
495038,1.28175
502678,1.15925
510272,1.2625
518026,1.2895
525651,1.26175
533275,1.251
540859,1.3665
548619,1.44375
556211,1.27325
563939,1.2765
571776,1.279
579403,1.2915
586973,1.26825
594557,1.32525
602077,1.31325
609851,1.264
617485,1.317
625120,1.41975
632788,1.385
640398,1.4055
648062,1.3605
655673,1.4185
663345,1.34975
670837,1.3385
678409,1.36175
685809,1.19375
693303,1.18725
700928,1.2505
708459,1.25075
716129,1.34825
723685,1.43375
731306,1.3725
738957,1.384
746628,1.357
754442,1.35175
762044,1.382
769621,1.3935
777293,1.4675
784900,1.411
792426,1.427
800021,1.369
807583,1.276
815286,1.46525
822962,1.319
830599,1.37425
838191,1.30425
845827,1.2435
853474,1.33525
861072,1.39425
868889,1.42
876641,1.3595
884240,1.357
891766,1.38175
899344,1.37575
907000,1.318
914729,1.4225
922354,1.29425
929885,1.346
937613,1.3115
945216,1.377
952885,1.323
960494,1.471
968316,1.336
975932,1.45
983544,1.36125
991216,1.39675
998871,1.34725
1006413,1.44075
1014069,1.42025
1021679,1.3245
1029355,1.303
1036919,1.36125
1044526,1.33475
1051959,1.2105
1059510,1.40775
1067200,1.40875
1074925,1.39725
1082706,1.302
1090405,1.3585
1098151,1.2765
1105852,1.3855
1113568,1.3895
1121290,1.36075
