timestep,reward
192,-0.04375
19392,0.5
38592,0.58275
57792,0.6255
76992,0.563
96192,0.70875
115392,0.7385
134592,0.753
153792,0.732
172992,0.72825
192192,0.819
211392,0.81975
230592,0.784
249792,0.79875
268992,0.663
288192,0.80775
307392,0.7395
326592,0.76175
345792,0.891
364992,0.78125
384192,0.79025
403392,0.799
422592,0.81475
441792,0.80925
460992,0.83775
480192,0.86725
499392,0.783
518592,0.75225
537792,0.81075
556992,0.717
576192,0.83225
595392,0.7765
614592,0.8415
633792,0.77275
652992,0.8075
672192,0.84825
691392,0.7385
710592,0.8245
729792,0.86425
748992,0.8635
768192,0.7445
787392,0.82475
806592,0.813
825792,0.767
844992,0.7925
864192,0.80875
883392,0.7775
902592,0.80075
921792,0.77875
940992,0.81975
