timestep,reward
4,-0.05175
6309,-0.20375
11217,0.20925
16908,0.954
24102,0.9025
31535,0.9075
38958,1.1125
46479,1.21575
53937,0.94475
61407,0.98775
68885,1.0425
76293,1.03
83667,0.9445
90955,0.94275
98394,0.9635
105774,1.0705
113303,0.98375
120628,1.05725
127949,0.98275
135081,0.97625
142651,0.979
150014,1.2055
157425,0.91825
164802,1.10675
172301,1.147
179638,1.1965
187120,1.17625
194625,1.15875
202150,1.12525
209701,1.224
217333,1.2605
224975,1.2345
232784,1.28525
240414,1.27125
247870,1.3005
255403,1.22825
263132,1.23975
270790,1.323
278414,1.31125
286107,1.29075
293821,1.2375
301431,1.25375
308954,1.2985
316521,1.391
324216,1.29675
331941,1.34075
339561,1.3525
347183,1.3545
355037,1.2915
362758,1.29625
370516,1.264
378186,1.3795
385919,1.2565
393586,1.287
401466,1.3645
409196,1.39125
416910,1.267
424461,1.266
432171,1.33
439746,1.419
447478,1.129
455319,1.422
462964,1.30175
470568,1.371
478098,1.4525
485787,1.24525
493532,1.3325
501332,1.2465
508973,1.35375
516521,1.45675
524279,1.34475
531943,1.2945
539574,1.4085
547200,1.3325
554922,1.21675
562710,1.2775
570322,1.33475
577996,1.41325
585699,1.3035
593289,1.37075
600879,1.392
608473,1.3145
616291,1.27925
623959,1.31225
631618,1.25975
639283,1.28225
646884,1.30625
654611,1.37325
662389,1.2965
670100,1.38675
677846,1.368
685503,1.37025
693146,1.337
700868,1.3495
708491,1.445
716235,1.29425
724048,1.38875
731789,1.41325
739454,1.39525
747217,1.28175
755148,1.31425
762943,1.38775
770669,1.27325
778441,1.323
786031,1.4045
793720,1.38075
801388,1.1955
809172,1.41775
817030,1.345
824691,1.47025
832400,1.34825
840107,1.28325
847639,1.4125
855363,1.3195
863103,1.40075
870947,1.40425
878600,1.374
886346,1.39625
894074,1.37325
901937,1.41675
909844,1.27025
917638,1.307
925403,1.326
933087,1.36
940663,1.34625
948312,1.24775
955933,1.30125
963624,1.36025
971336,1.289
978825,1.26925
986401,1.44875
994009,1.33225
1001650,1.29175
1009257,1.31575
1017009,1.33675
1024801,1.32975
1032535,1.382
1040259,1.28725
1048037,1.51875
1055924,1.3775
1063694,1.33475
1071261,1.334
1078958,1.258
1086739,1.284
1094600,1.4285
1102260,1.491
1109870,1.355
1117617,1.3115
1125256,1.31775
1132932,1.3765
