timestep,reward
0,0.004
1281,-0.057
2510,-0.061
3771,-0.014
4978,0.067
6243,-0.12
7532,0.147
8812,0.052
10061,-0.031
11368,0.097
12596,0.041
13920,0.075
15214,0.163
16471,0.056
17752,-0.073
19047,0.031
20324,-0.05
21633,0.026
22942,0.052
24223,-0.103
25519,0.014
26799,-0.057
28061,-0.021
29304,-0.017
30585,0.064
31858,-0.093
33154,0.177
34448,0.0
35739,0.034
37003,-0.045
38255,0.042
39513,-0.032
40747,0.011
42050,0.003
43313,-0.071
44634,-0.079
45877,-0.036
47191,0.04
48464,0.125
49750,0.083
51017,0.012
52330,0.052
53574,0.059
54864,-0.121
56124,0.008
57416,-0.004
58712,0.061
59949,0.049
61238,0.07
62543,0.083
63780,0.07
65010,0.111
66289,0.067
67595,0.066
68856,-0.143
70121,0.039
71401,0.078
72654,-0.078
73927,-0.128
75160,-0.064
76437,0.063
77751,0.035
79074,-0.069
80340,0.047
81614,-0.18
82869,0.072
84144,0.068
85420,0.065
86654,-0.027
87928,0.044
89233,-0.159
90498,0.0
91869,-0.011
93159,-0.007
94425,0.036
95727,0.049
97048,0.048
98367,-0.007
99644,-0.069
100858,-0.024
102164,-0.082
103513,-0.125
104828,0.015
106131,0.108
107410,0.197
108715,-0.008
109958,0.084
111221,0.051
112540,0.144
113814,0.005
115088,0.046
116338,0.121
117685,0.044
118982,-0.072
120258,0.021
121557,-0.143
122852,0.0
124154,-0.128
125455,0.009
126765,-0.06
