timestep,reward
193,-0.48325
22483,0.06725
45713,1.0405
72114,1.29225
98856,1.16475
125346,0.99375
151779,0.974
178323,0.99275
204971,0.9615
231565,1.059
258156,1.1025
284842,1.04425
311374,1.1545
338015,1.01
364681,0.99525
391379,1.11025
418201,0.85925
444930,0.69325
471510,0.882
498084,0.95
524547,0.89125
551034,0.92125
577706,1.05025
604265,0.832
630839,0.869
657389,1.03375
683835,1.01225
710343,1.01275
737033,1.24725
763582,1.1265
790075,1.0325
816541,1.059
842981,1.0875
869594,1.175
896191,1.10075
922760,1.054
949248,1.16775
975759,1.0985
1002193,1.0965
1028780,1.10275
1055570,1.1975
1082149,1.1925
1108655,1.101
1135239,1.175
1161796,1.238
1188347,1.2025
1214957,1.09075
1241682,1.1315
1268213,1.17275
1294612,1.1385
