timestep,reward
5,0.2255
5415,-0.1505
10236,0.74775
16478,0.63275
22874,1.02275
30315,0.96425
37810,0.875
45207,0.96725
52445,0.8265
59933,0.82625
67479,1.011
75068,0.91925
82556,0.99625
90064,1.01125
97634,0.86475
105164,0.976
112676,0.954
120255,0.99725
127666,1.1685
135067,1.1655
142543,1.20025
150217,1.24225
157861,1.05225
165335,1.27725
173025,1.29425
180629,1.306
188273,1.29925
195995,1.17
203453,1.18375
211092,1.4035
218791,1.168
226300,1.2565
233935,1.2885
241463,1.2775
249046,1.39875
256656,1.3135
264169,1.281
271845,1.2915
279548,1.3175
287186,1.28475
294772,1.39675
302506,1.21575
310136,1.29175
317721,1.235
325238,1.3665
332969,1.32425
340548,1.2475
348134,1.27725
355611,1.1855
363117,1.16325
370544,1.12275
378037,1.11375
385706,1.27425
393300,1.24975
400746,1.19175
408136,1.22775
415529,1.24
423099,1.32325
430481,1.37175
438082,1.26
445609,1.2225
453171,1.3275
460823,1.2635
468344,1.24125
475807,1.231
483295,1.26275
490828,1.2885
498246,1.31825
505667,1.345
513115,1.05125
520538,1.26275
528014,1.17525
535434,1.2235
542997,1.1455
550377,1.24625
557769,1.1975
565278,1.193
572734,1.279
580277,1.276
587528,1.215
595064,1.12325
602347,1.138
609734,1.15525
617321,1.14425
624769,1.3225
632253,1.2525
639745,1.2365
647290,1.298
654894,1.32925
662457,1.27375
670037,1.29625
677517,1.24925
685018,1.3435
692484,1.2535
700052,1.25575
707625,1.3655
715310,1.36225
722778,1.3175
730347,1.34025
737971,1.2635
745467,1.26275
753008,1.3695
760536,1.33475
768155,1.3555
775791,1.41775
783529,1.29975
791172,1.2605
798707,1.36
806247,1.3425
813977,1.4045
821593,1.4025
829135,1.378
836747,1.2695
844198,1.26475
851727,1.33475
859263,1.30025
866864,1.328
874504,1.251
882077,1.412
889645,1.3155
897294,1.38775
905006,1.341
912690,1.30525
920211,1.51175
928052,1.4715
935754,1.375
943511,1.21625
951105,1.268
958762,1.35775
966400,1.27675
974025,1.2645
981677,1.257
989326,1.20975
997099,1.21
1004888,1.19175
1012648,1.30975
1020368,1.4385
1028136,1.32725
1035951,1.195
1043636,1.3275
1051410,1.27425
1059255,1.3795
1066988,1.38
1074803,1.24125
1082539,1.41075
1090261,1.2235
1098073,1.35225
1105926,1.32975
1113668,1.329
1121350,1.528
