timestep,reward
196,1.2995
26917,1.4245
53886,1.3635
80671,1.36975
107579,1.2915
134466,1.395
161512,1.40425
188257,1.3115
214993,1.4285
241826,1.42825
268650,1.37025
295397,1.3115
322289,1.407
349160,1.3335
375974,1.416
402962,1.40075
429916,1.2365
456713,1.479
483629,1.464
510587,1.418
537349,1.36775
564147,1.27425
590809,1.43775
617609,1.44825
644567,1.3645
671280,1.42775
698063,1.553
724985,1.504
751815,1.37075
778627,1.3895
805564,1.318
832458,1.347
859326,1.4005
886243,1.35625
913234,1.4745
940181,1.42975
967123,1.43
993943,1.4525
1020919,1.31225
1047768,1.391
1074626,1.51775
1101488,1.436
1128281,1.4075
1155251,1.45575
1182093,1.40675
1208986,1.344
1235853,1.2935
1262701,1.3775
1289505,1.35925
1316305,1.38225
