timestep,reward
193,1.18775
27028,1.37825
54080,1.2495
80744,1.387
107432,1.41275
134145,1.2375
161004,1.275
187706,1.34425
214450,1.32975
241199,1.3055
267934,1.4055
294849,1.37075
321682,1.2935
348526,1.35675
375282,1.437
402248,1.394
428999,1.353
455692,1.4255
482556,1.29125
509481,1.3255
536348,1.37
563112,1.35
589924,1.3665
616958,1.35775
643831,1.269
670658,1.4745
697619,1.37475
724544,1.368
751379,1.3765
778110,1.255
804969,1.352
831809,1.342
858527,1.462
885347,1.35875
912196,1.44375
939097,1.304
965994,1.4365
992845,1.4525
1019738,1.42875
1046525,1.3675
1073378,1.403
1100147,1.3135
1127093,1.37175
1153948,1.39975
1180701,1.2285
1207282,1.4325
1234136,1.387
1261055,1.42175
1288010,1.43075
1314857,1.37325
