timestep,reward
0,0.148
1317,0.001
2563,0.012
3877,0.012
5139,0.034
6471,0.057
7733,0.083
8980,0.142
10246,0.092
11519,-0.048
12812,-0.082
14054,0.043
15340,-0.031
16596,0.021
17887,-0.043
19176,0.062
20420,0.096
21746,-0.082
22999,0.075
24340,0.03
25608,-0.033
26924,0.051
28182,0.117
29478,0.047
30773,-0.026
32107,0.087
33410,0.041
34673,0.08
35932,-0.077
37165,0.04
38468,-0.178
39746,0.082
41104,0.07
42368,0.093
43724,0.045
45016,0.049
46311,0.026
47568,0.083
48878,-0.035
50114,0.0
51404,-0.034
52716,-0.025
54061,0.011
55391,0.042
56624,-0.138
57968,0.035
59279,-0.054
60495,0.164
61778,0.043
63079,0.109
64367,-0.102
65616,-0.038
66927,-0.111
68149,-0.001
69433,0.111
70697,0.104
71976,-0.056
73246,-0.036
74497,-0.092
75749,0.033
77053,-0.055
78361,-0.114
79561,0.051
80826,0.027
82170,-0.089
83487,-0.031
84740,-0.214
85972,0.034
87267,-0.02
88543,-0.109
89814,0.063
91144,0.028
92432,0.116
93691,-0.011
95011,0.0
96278,-0.039
97598,-0.092
98889,0.034
100199,0.107
101471,-0.089
102771,-0.032
104018,-0.048
105283,-0.004
106586,0.018
107858,0.074
109148,0.001
110440,-0.047
111771,-0.035
113098,0.11
114349,-0.009
115599,0.068
116865,0.075
118155,-0.013
119496,-0.015
120782,0.019
122003,-0.034
123251,0.024
124543,0.084
125794,-0.143
127062,-0.053
