timestep,reward
0,0.079
1301,0.016
2614,0.119
3888,-0.06
5168,-0.06
6421,-0.02
7701,-0.047
8940,-0.047
10206,-0.085
11477,-0.05
12744,0.019
14013,0.048
15285,-0.014
16516,-0.083
17824,0.068
19094,0.015
20361,-0.009
21679,-0.072
22975,-0.02
24307,0.04
25519,0.131
26766,0.02
28045,0.053
29332,-0.127
30624,0.07
31907,-0.016
33224,0.048
34526,0.129
35843,0.092
37116,0.035
38418,0.043
39626,-0.037
40918,0.1
42226,-0.024
43521,-0.26
44804,0.055
46038,0.166
47354,-0.007
48635,0.101
49968,-0.034
51258,-0.098
52522,0.098
53802,-0.084
55099,-0.018
56392,-0.024
57699,0.059
58960,-0.002
60240,0.125
61503,-0.063
62790,0.065
64081,-0.052
65365,-0.092
66694,0.045
67963,0.062
69251,-0.106
70511,-0.054
71799,-0.009
73076,0.056
74387,-0.029
75687,0.169
76935,-0.026
78206,-0.057
79529,0.023
80781,0.054
82126,-0.032
83409,-0.159
84761,0.047
86046,0.145
87311,0.105
88604,0.017
89932,0.079
91254,0.132
92517,0.043
93842,-0.05
95092,0.093
96379,0.066
97639,0.139
98877,-0.084
100211,0.059
101459,-0.097
102791,0.027
104070,-0.027
105343,-0.03
106638,-0.085
107913,-0.09
109267,0.058
110536,0.119
111791,0.014
113109,-0.014
114373,-0.104
115644,-0.017
116912,0.044
118219,0.055
119542,0.013
120847,-0.188
122125,0.099
123365,-0.02
124664,0.162
125936,0.036
127249,-0.031
