timestep,reward
194,-0.141
23206,0.15675
48397,1.12575
75109,1.09475
101852,1.09125
128497,1.1495
155325,1.22125
182139,1.05225
208870,1.22875
235764,1.27
262654,1.28925
289374,1.311
316216,1.16575
342926,1.113
369805,1.21
396783,1.14975
423477,1.243
450396,1.13025
477268,1.37625
504263,1.403
531238,1.186
558077,1.263
585020,1.308
611978,1.32825
638875,1.36925
665868,1.3245
692769,1.362
719647,1.19175
746419,1.2895
773208,1.37425
800088,1.33075
826950,1.314
853812,1.3815
880641,1.33825
907430,1.413
934182,1.40125
960965,1.392
987704,1.30975
1014681,1.386
1041507,1.339
1068405,1.197
1095082,1.191
1121899,1.18425
1148709,1.307
1175364,1.35475
1202269,1.228
1229088,1.313
1255840,1.2285
1282504,1.2
1309220,1.16675
