timestep,reward
0,0.001
1248,0.069
2533,-0.092
3850,-0.007
5115,-0.074
6445,-0.033
7818,-0.103
9101,-0.016
10394,-0.067
11665,0.067
12894,0.029
14207,0.042
15460,0.042
16756,-0.065
18067,-0.078
19310,0.073
20618,-0.015
21925,-0.071
23228,-0.052
24550,-0.047
25817,-0.095
27101,-0.166
28321,0.047
29583,0.065
30869,0.029
32142,0.052
33454,-0.071
34776,-0.031
36062,-0.046
37361,0.059
38637,-0.027
39913,0.075
41152,0.06
42443,0.057
43742,0.049
44986,0.055
46271,0.008
47548,0.099
48784,0.076
50004,-0.051
51280,-0.017
52591,0.002
53843,-0.095
55133,-0.124
56443,0.048
57739,-0.03
59031,-0.024
60298,0.044
61552,-0.033
62813,0.094
64125,-0.118
65399,-0.038
66605,0.034
67870,-0.152
69145,-0.132
70341,-0.031
71579,0.085
72852,0.008
74136,0.022
75367,-0.031
76626,-0.042
77918,0.065
79179,-0.063
80439,0.086
81768,-0.034
83061,-0.147
84406,-0.152
85682,-0.121
86986,-0.09
88261,0.04
89546,-0.078
90867,0.042
92122,0.075
93381,0.12
94652,0.042
95871,-0.071
97125,0.156
98401,-0.008
99665,-0.07
100931,-0.006
102166,0.176
103472,-0.08
104786,0.018
106153,0.18
107432,0.174
108665,0.028
109960,0.019
111275,-0.047
112541,-0.031
113813,0.052
115069,0.1
116288,-0.138
117527,0.143
118784,0.025
120064,-0.029
121373,0.043
122612,-0.139
123899,0.004
125201,0.08
126470,-0.052
