timestep,reward
0,0.012
1230,0.065
2419,-0.03
3675,0.052
4956,0.023
6213,-0.069
7482,-0.002
8717,0.022
9988,-0.005
11288,-0.054
12600,-0.082
13957,0.0
15304,0.069
16564,0.018
17849,0.068
19147,-0.108
20424,0.029
21701,-0.057
23007,0.047
24284,0.054
25613,0.051
26842,-0.065
28129,0.155
29421,-0.165
30635,-0.077
31924,0.09
33169,0.011
34463,-0.02
35699,0.035
36986,0.031
38293,-0.064
39611,-0.048
40920,-0.102
42269,0.02
43611,0.018
44843,-0.022
46093,-0.023
47327,0.071
48642,0.06
49939,-0.062
51260,0.055
52531,0.017
53773,-0.018
55050,0.108
56385,0.045
57636,-0.1
58938,-0.011
60220,0.078
61522,0.066
62802,0.109
64126,-0.079
65369,-0.032
66652,-0.073
67914,0.184
69204,0.094
70585,0.071
71893,-0.018
73135,0.069
74435,0.045
75749,0.087
77047,0.043
78332,0.003
79621,0.082
80948,-0.118
82251,-0.047
83604,0.019
84890,-0.002
86160,-0.074
87500,0.002
88737,0.01
89962,0.085
91249,-0.02
92588,0.037
93881,-0.099
95233,-0.091
96492,0.051
97858,-0.046
99129,-0.023
100470,0.036
101699,-0.069
102998,-0.091
104280,-0.007
105547,0.012
106840,-0.02
108146,0.071
109451,-0.032
110767,0.06
112048,0.04
113339,0.095
114650,-0.065
115976,0.101
117258,0.102
118543,0.166
119786,0.021
121072,0.028
122354,-0.128
123608,-0.002
124884,0.12
126180,-0.031
127545,-0.039
