timestep,reward
4,0.259
6428,-0.36875
11745,0.14775
18139,0.7445
25192,0.92075
32457,0.96375
39813,1.048
47277,0.84175
54671,0.8445
62117,0.71025
69755,0.80575
77407,0.978
84918,1.0805
92382,1.0875
99869,1.2125
107434,1.24125
114901,1.204
122412,1.094
129838,1.14675
137364,1.2445
144699,1.0345
152038,1.1345
159386,1.15275
166764,1.13075
174337,1.241
181694,1.14125
189055,1.20575
196491,1.05875
203994,1.03875
211399,1.19125
218822,1.24075
226210,1.0975
233669,0.99175
241106,1.12225
248519,1.10775
256075,1.20275
263493,0.97075
270955,0.9935
278414,0.97075
285930,1.23375
293460,1.06525
300881,1.219
308465,1.18475
316001,1.0105
323468,1.22625
331138,1.0985
338814,1.18175
346280,1.17725
353775,1.17425
361409,1.20675
368988,1.167
376584,1.17
384042,1.172
391791,1.2635
399243,1.08225
406736,1.1695
414394,1.09875
421916,1.214
429639,1.0755
437157,0.9535
444686,1.064
452216,1.17575
459624,1.1745
467265,1.1435
474813,1.20525
482127,1.45675
489812,1.349
497479,1.47325
505031,1.3505
512677,1.32275
520269,1.4135
527971,1.204
535564,1.2485
543121,1.1475
550493,1.36975
558194,1.309
565812,1.32825
573489,1.1955
581219,1.269
588718,1.29175
596250,1.3725
603924,1.22325
611583,1.35125
619183,1.3355
626889,1.29775
634388,1.4125
641946,1.2805
649477,1.35775
657048,1.32225
664842,1.3325
672521,1.323
680313,1.2295
687909,1.45925
695527,1.3785
703192,1.39325
710790,1.435
718627,1.472
726267,1.427
733959,1.2615
741630,1.42625
749229,1.30175
756904,1.4375
764368,1.22
771976,1.4225
779534,1.42225
787080,1.39775
794793,1.357
802275,1.3285
809915,1.4025
817591,1.45875
825176,1.38175
832858,1.34775
840641,1.39025
848445,1.40625
856232,1.341
864043,1.3205
871670,1.3755
879416,1.30425
887178,1.23975
894852,1.5195
902520,1.3305
910194,1.37925
917795,1.402
925472,1.38375
933140,1.4145
940780,1.40775
948609,1.33125
956285,1.323
963980,1.298
971721,1.4115
979418,1.2665
987061,1.3725
994640,1.3875
1002371,1.40875
1010114,1.5045
1017816,1.33675
1025468,1.4515
1033176,1.3885
1040809,1.276
1048445,1.3865
1055997,1.29575
1063814,1.50625
1071599,1.38575
1079360,1.44925
1087024,1.36025
1094627,1.31675
1102304,1.3935
1109919,1.42225
1117411,1.4065
1125207,1.34725
