timestep,reward
192,-0.11425
19392,0.446
38592,0.4785
57792,0.515
76992,0.51725
96192,0.4985
115392,0.62175
134592,0.612
153792,0.65375
172992,0.637
192192,0.73025
211392,0.763
230592,0.7525
249792,0.75475
268992,0.826
288192,0.80275
307392,0.79225
326592,0.76025
345792,0.761
364992,0.734
384192,0.758
403392,0.80975
422592,0.71125
441792,0.6395
460992,0.739
480192,0.84425
499392,0.81125
518592,0.73
537792,0.743
556992,0.7885
576192,0.70875
595392,0.72475
614592,0.76925
633792,0.72675
652992,0.7075
672192,0.69925
691392,0.70375
710592,0.791
729792,0.76325
748992,0.727
768192,0.7085
787392,0.83575
806592,0.80425
825792,0.85475
844992,0.7145
864192,0.74075
883392,0.716
902592,0.73375
921792,0.7875
940992,0.78225
