timestep,reward
196,0.78125
26327,0.82925
52619,1.04875
79391,0.945
105984,0.6845
132811,0.88575
159624,0.936
186418,1.19725
213368,1.106
240113,1.139
267000,1.132
293637,1.102
320132,1.20175
346695,1.13825
373281,0.88275
399646,1.043
426029,1.23575
452619,1.169
479254,1.20025
505770,1.162
532346,1.12525
558793,1.128
585154,1.06775
611490,1.1505
638032,1.1205
664542,0.9985
691087,0.94725
717603,0.913
743999,0.99425
770503,1.0905
797063,1.06825
823437,1.0225
850034,1.0945
876747,1.05675
903458,1.2655
930141,1.17575
956795,1.133
983357,1.14825
1009977,1.20125
1036680,1.1175
1063429,1.2985
1090443,1.217
1117081,1.255
1143852,1.14175
1170639,1.18475
1197337,1.194
1224160,1.24375
1250938,1.42925
1277844,1.32575
1304738,1.251
