timestep,reward
194,0.60675
26169,0.77175
52677,1.116
79257,1.0375
105926,0.97475
132672,0.9015
159286,0.85425
185732,0.79525
212221,0.9845
238604,0.9435
265171,1.043
291839,1.14375
318402,1.12725
345157,1.228
371828,1.2995
398511,1.2805
425101,1.182
451758,1.164
478322,1.14425
504759,1.2045
531515,1.15175
558170,1.244
584653,1.04875
611292,1.176
637853,1.14925
664358,1.28575
691121,1.221
717852,1.26825
744635,1.26525
771399,1.36025
798157,1.24475
824904,1.0295
851631,1.0815
878230,1.20725
904811,1.2685
931537,1.208
958469,1.23725
985300,1.11475
1012020,1.382
1038762,1.1505
1065560,1.19125
1092525,1.226
1119327,1.23425
1146178,1.19825
1172936,1.26225
1199768,1.37675
1226478,1.35875
1253279,1.349
1279994,1.3185
1306619,1.328
