timestep,reward
192,0.042
19392,0.76625
38592,0.7145
57792,0.702
76992,0.70975
96192,0.698
115392,0.626
134592,0.73725
153792,0.76725
172992,0.7135
192192,0.7115
211392,0.75475
230592,0.70575
249792,0.695
268992,0.705
288192,0.62875
307392,0.75
326592,0.6805
345792,0.53875
364992,0.6235
384192,0.5655
403392,0.65175
422592,0.66175
441792,0.65625
460992,0.653
480192,0.62925
499392,0.729
518592,0.7285
537792,0.6245
556992,0.69775
576192,0.75
595392,0.741
614592,0.7145
633792,0.7505
652992,0.7185
672192,0.794
691392,0.6935
710592,0.657
729792,0.74875
748992,0.66025
768192,0.69
787392,0.757
806592,0.72475
825792,0.77975
844992,0.83875
864192,0.72775
883392,0.788
902592,0.7365
921792,0.90275
940992,0.788
